,No,Country,Continent,LifeExpect,GDPPC,MfgMn$,AgriMn$,CO2kt,HealthPC$,Pop_mn
0,1,Afghanistan,Asia,63.565,500.52298078433046,1331.48,4872.44,11238.83,74.23410411,37.77
1,2,Albania,Europe,79.282,5396.214226909946,963.57,2832.29,4993.3,2219.10058594,2.85
2,3,Algeria,Africa,76.474,4021.9836079660345,40980.38,21189.6,170582.4,250.56077576,42.71
3,4,Angola,Africa,62.448,2142.2387571285367,4253.81,5463.38,24382.9,69.37934113,32.35
4,5,Antigua and Barbuda,North America,78.691,18187.77971171123,37.48,29.25,509.0,801.54382324,0.09
5,6,Argentina,South America,77.284,9963.67423069626,60629.74,23814.08,168162.0,958.52349854,44.94
6,7,Armenia,Asia,75.439,4828.504888606453,1595.02,1569.71,6195.6,549.47436523,2.82
7,8,Australia,Oceania,82.9,54941.06572028425,78034.81,29461.97,395199.1,5555.37402344,25.34
8,9,Austria,Europe,81.89512195121951,50070.40334828921,73767.16,4678.97,64497.8,5262.05419922,8.88
9,10,Azerbaijan,Asia,73.102,4805.753717659173,2410.47,2743.65,35521.0,191.75552368,10.02
10,11,"Bahamas, The",North America,71.205,32279.01136304649,270.7,71.2,2622.7,1921.1270752,0.4
11,12,Bahrain,Asia,80.019,25869.112912904122,6811.34,108.7,32966.8,1024.39054519,1.49
12,13,Bangladesh,Asia,72.806,2122.0783861524005,74490.45,42061.93,92645.0,47.66782379,165.52
13,14,Barbados,North America,77.257,19002.96238132629,249.1,69.25,1167.27,1171.25622559,0.28
14,15,Belarus,Europe,74.2268292682927,6837.76723174438,13938.35,4376.65,57681.2,390.24972534,9.42
15,16,Belgium,Europe,81.99512195121952,46641.7116578097,66155.12,3590.38,92989.4,4983.65673828,11.49
16,17,Belize,North America,73.931,6210.56554311929,159.15,156.95,736.2,303.53390503,0.39
17,18,Benin,Africa,60.454,1170.965532981049,1419.84,3867.88,7475.5,27.17067146,12.29
18,19,Bermuda,North America,81.033,116153.1661216379,38.31,16.4,6522.299999999999,500.88366699000005,0.06
19,20,Bhutan,Asia,71.391,3303.9623086821475,180.17,400.23,1433.0,115.32080841,0.77
20,21,Bolivia,South America,67.841,3472.380831364421,4289.72,4998.13,21828.8,239.17544556000001,11.78
21,22,Bosnia and Herzegovina,Europe,77.241,6094.723213762583,2556.23,1116.31,21124.3,543.98284912,3.36
22,23,Botswana,Africa,65.464,6691.161051174071,1019.0,348.47,7198.3,408.89599609,2.5
23,24,Brazil,South America,75.338,8845.323931241695,193557.51,78772.03,434318.0,850.43286133,211.78
24,25,Brunei Darussalam,Asia,74.748,30748.32018990982,1832.12,132.81,7057.8,674.65161133,0.44
25,26,Burkina Faso,Africa,60.039,772.1668775475443,1620.81,2972.92,5646.5,41.07073212,20.95
26,27,Cabo Verde,Africa,76.004,3928.309095586314,100.01,86.74,617.2,173.98080443999999,0.58
27,28,Cambodia,Asia,70.692,1671.3854000976744,4409.28,5610.72,18093.2,115.25953674,16.21
28,29,Cameroon,Africa,61.584,1538.6879120214817,5088.11,6665.63,9557.3,56.18640518,25.78
29,30,Central African Republic,Africa,55.025,426.4087529889422,395.0,629.56,235.4,34.23019409,5.21
30,31,Chad,Africa,53.259,701.6212008114343,322.93,2730.91,1583.6,30.53188515,16.13
31,32,Chile,South America,80.326,14627.145016480032,25043.37,11093.28,91915.4,1369.48400879,19.04
32,33,China,Asia,77.968,10143.860206037301,3823421.82,1020116.72,10762824.0,539.6194458,1407.75
33,34,Colombia,South America,76.752,6436.509215295313,35296.57,20708.66,79186.7,522.54925537,50.19
34,35,"Congo, Dem. Rep.",Africa,60.276,575.8827812725683,10084.85,10062.63,3031.2,19.85771751,89.91
35,36,Costa Rica,North America,79.427,12669.34116173959,7760.04,2706.86,7956.4,914.88470459,5.08
36,37,Cote d'Ivoire,Africa,59.319,2290.787378947825,7353.91,10480.49,10838.9,73.64801652,26.15
37,38,Croatia,Europe,78.42439024390245,15086.211739621507,7297.9,1757.11,16523.3,1040.08569336,4.07
38,39,Cuba,North America,77.611,9139.415856057647,12907.0,3690.0,24418.5,1013.10137939,11.32
39,40,Cyprus,Asia,81.397,29417.921875,1415.14,458.03,7191.0,2043.67858887,1.23
40,41,Czechia,Europe,79.22926829268295,23664.847863110834,57119.04,4699.54,97712.9,1803.05273438,10.67
41,42,Denmark,Europe,81.45121951219514,59592.98068864544,46454.17,4387.67,29696.5,6058.83007813,5.81
42,43,Djibouti,Africa,63.085,2876.0436637153634,114.38,46.93,428.27,62.30675125,1.07
